what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1359741091033
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1359741091033
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1359741091038
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1359741091038
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1359741091043
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1359741091048
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1359741091058
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1359741091060
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1359741091060
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1359741091067
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1359741091069
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1359741091073
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1359741091073
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1359741091080
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1359741091080
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1359741091080
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1359741091100
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1359741091119
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1359741091119
os,sysinfo,,,"macosx",1359741091123
arch,sysinfo,,,"x86_64",1359741091123
ws,sysinfo,,,"cocoa",1359741091123
locale,sysinfo,,,"en_US",1359741091123
processors,sysinfo,,,"2",1359741091123
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359741091123
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1359741091123
java.specification.name,sysinfo,,,"Java Platform API Specification",1359741091123
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359741091123
java.specification.version,sysinfo,,,"1.6",1359741091123
java.vendor,sysinfo,,,"Apple Inc.",1359741091123
java.version,sysinfo,,,"1.6.0_37",1359741091123
java.vm.info,sysinfo,,,"mixed mode",1359741091123
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359741091123
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359741091123
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359741091123
java.vm.specification.version,sysinfo,,,"1.0",1359741091123
java.vm.vendor,sysinfo,,,"Apple Inc.",1359741091123
java.vm.version,sysinfo,,,"20.12-b01-434",1359741091123
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1359741091146
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1359741091284
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1359741091325
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1359741091396
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120210-1700,"org.eclipse.team.svn.core",1359741091444
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120210-1700,"org.eclipse.team.svn.ui",1359741091603
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1359741091646
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1359741091692
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20120210-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1359741091692
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20120210-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1359741091708
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1359741091710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741097853
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1359741097858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359741099019
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359741099029
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1359741099045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741102783
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1359741110983
started,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1359741111008
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1359741121746
started,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1359741121885
started,bundle,org.maven.ide.eclipse.wtp,0.15.1.20120208-1300,"org.maven.ide.eclipse.wtp",1359741122146
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1359741122438
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1359741122453
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1359741122841
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1359741123203
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1359741123245
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1359741123368
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1359741123430
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1359741126675
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1359741126715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741147604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1359741147639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741157703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741164993
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359741165169
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359741165917
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359741165926
